Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
Female,39,14,134950,3,1,0,76544,1
Male,49,5,133021,2,0,1,61516,1
Female,55,0,151953,4,0,0,25523,0
Male,25,18,182378,2,0,0,131456,1
Male,25,12,87150,2,0,0,186379,1
Female,23,5,89364,2,0,0,12199,0
Female,31,14,115925,4,1,0,177279,0
Male,49,15,9958,3,0,1,80231,1
Male,52,15,190257,2,0,0,11006,1
Female,27,9,139769,3,1,1,17114,0
Female,20,8,87160,2,0,0,119548,0
Female,29,8,15493,3,1,0,93063,1
Male,66,16,173873,2,1,1,155099,0
Male,48,16,21199,3,1,0,109528,1
Male,46,16,196864,1,0,0,112799,1
Male,22,11,165560,4,0,1,87977,1
Male,69,12,30493,2,1,1,171261,0
Male,42,11,111545,4,0,0,10181,1
Female,58,13,49002,2,0,0,153884,1
Male,48,9,23731,1,1,0,32716,0
Male,38,18,138148,1,1,0,136995,1
Male,37,1,1071,4,0,0,50218,0
Female,56,3,99926,2,1,0,36633,0
Male,39,18,127872,3,1,0,20939,1
Male,21,6,198674,2,0,0,20072,0
Female,30,14,41410,3,0,0,105534,0
Male,62,14,185399,4,1,1,167847,0
Male,59,5,94948,4,0,1,94751,0
Male,67,2,192144,1,0,0,193472,1
Male,66,5,41041,3,0,1,41619,0
Male,37,15,123616,2,0,1,139729,0
Female,69,1,53326,1,0,0,117696,0
Female,30,6,169621,4,0,1,170624,0
Female,34,10,53096,1,1,1,72017,0
Male,53,6,186650,2,1,1,165957,1
Male,50,3,177462,2,1,1,134412,0
Male,18,19,177124,4,1,1,56075,0
Female,32,6,43167,1,1,0,145722,1
Male,30,3,185659,3,0,0,158705,0
Male,34,11,61292,3,0,1,111287,0
Female,41,4,75419,3,1,1,47343,0
Male,25,18,173211,2,0,1,164903,0
Female,67,4,87753,1,1,0,177949,0
Female,44,18,141779,3,0,1,188203,0
Female,62,2,144212,1,1,0,55197,1
Male,40,10,11093,4,0,1,198193,0
Male,63,6,104089,3,1,1,11782,1
Male,25,16,72043,1,0,0,183239,0
Male,25,8,124534,2,1,0,14412,1
Male,43,8,136902,4,0,0,69687,1
Male,64,9,161680,4,0,1,123043,1
Male,30,12,102865,4,1,1,57855,0
Female,56,14,124678,4,1,0,106169,1
Male,54,4,47287,2,1,1,68190,0
Female,66,2,33427,2,1,0,151688,1
Male,45,7,159467,3,1,0,47448,0
Male,42,19,129849,2,1,1,133678,1
Male,33,9,109839,2,1,1,174310,0
Female,19,12,92662,4,1,1,22101,1
Female,35,2,17970,2,0,1,113131,0
Female,34,7,70218,4,0,1,113371,1
Female,47,8,74362,1,0,1,85822,0
Male,56,11,154443,1,0,1,193353,1
Female,30,10,150338,1,1,0,140965,1
Male,49,1,150267,1,0,0,60465,1
Male,67,17,110949,1,0,1,21070,1
Female,46,8,126895,1,1,0,169163,0
Female,63,1,27315,1,0,0,196770,1
Female,47,1,83804,4,1,0,133927,0
Female,35,2,41581,4,0,0,68431,0
Female,30,15,176609,4,0,1,181774,1
Female,60,18,97357,4,1,0,56739,0
Female,38,3,119761,2,1,0,56707,1
Female,47,17,113984,2,0,1,31742,1
Male,38,19,92449,3,0,0,43050,0
Female,65,17,153256,2,0,0,50377,1
Female,34,9,154351,4,1,1,12733,0
Male,57,10,157642,4,1,0,94277,0
Female,36,16,130522,1,1,1,152199,0
Male,69,19,43030,1,1,1,153082,0
Male,32,15,62245,3,1,1,177078,0
Female,26,19,186539,2,1,0,169725,0
Male,69,12,35133,4,0,0,34373,0
Male,27,1,174877,2,1,1,148282,0
Male,61,1,43998,3,1,1,76323,0
Male,48,13,148310,1,0,1,124003,0
Female,40,3,199336,4,0,0,165690,1
Male,69,16,115603,1,1,0,25060,1
Female,47,12,48245,4,1,1,55256,1
Male,50,3,23557,1,1,0,163240,1
Male,69,2,70474,1,1,0,63473,1
Male,26,11,196739,3,0,1,169553,0
Male,64,7,91228,2,0,0,96648,0
Female,18,1,65074,1,0,0,81176,0
Female,61,5,58204,4,1,1,13410,0
Male,52,9,156647,2,0,0,175198,1
Male,28,11,151141,2,1,0,101316,0
Female,51,9,155472,1,0,0,120100,1
Male,33,9,155218,1,1,1,86721,1
Male,26,2,6846,1,1,0,91167,0
Male,49,19,171424,2,0,0,184273,1
Female,32,9,23694,3,0,0,157993,0
Female,29,8,21740,1,1,0,104123,1
Female,50,19,180510,2,0,0,63020,1
Male,62,18,30996,2,1,1,47344,0
Male,31,13,63874,4,1,0,140145,0
Female,25,1,97661,1,0,1,161981,0
Female,25,4,106945,3,0,0,161039,0
Female,44,19,190754,4,1,1,148970,0
Female,29,7,175272,1,1,1,191574,0
Male,18,6,22970,4,1,0,182976,0
Female,60,5,141967,1,1,1,139934,1
Male,57,10,169143,4,1,0,89752,0
Female,59,11,183340,3,1,1,141020,1
Male,68,17,153330,4,0,0,167471,0
Female,28,18,88890,4,0,0,38474,0
Female,56,9,57300,4,0,0,136367,1
Female,60,13,61915,1,1,0,63459,0
Female,48,2,139516,1,1,1,122298,0
Male,34,17,75147,3,0,0,29309,0
Female,50,14,76064,4,0,0,183027,1
Male,49,5,66535,2,0,0,115018,1
Male,46,9,3760,4,1,1,99117,0
Male,38,11,167956,2,1,0,173082,1
Male,38,6,102715,2,1,1,155359,0
Female,57,16,125491,4,0,1,32390,1
Male,40,0,157094,2,0,0,18541,0
Male,23,17,185576,2,0,1,158993,1
Male,39,14,130992,4,1,0,53937,0
Female,67,18,174202,1,0,1,192952,0
Female,55,0,174953,4,0,0,50149,0
Female,54,4,62399,3,1,0,194570,1
Female,62,14,167523,2,1,0,89030,1
Male,68,2,182485,3,0,1,49796,0
Male,25,0,62278,2,1,1,184268,0
Female,58,7,113286,1,0,1,140174,1
Male,66,11,160711,2,1,1,147113,1
Male,52,18,165693,4,1,0,95521,0
Male,68,11,144151,2,1,0,145246,1
Female,28,12,137967,3,1,1,137521,0
Female,41,0,93515,4,1,1,72933,0
Male,66,18,52142,3,1,1,43691,0
Female,38,5,127157,1,0,1,125306,1
Female,68,7,143624,3,0,0,129088,1
Female,19,3,92930,3,0,0,98262,0
Female,57,4,179893,3,1,0,103374,1
Female,36,6,97812,4,1,1,13303,0
Male,56,3,164702,1,0,1,56653,1
Female,45,19,70063,1,0,1,168249,0
Male,34,3,130990,1,0,1,19890,1
Male,23,14,12247,3,1,0,167878,1
Female,36,4,17603,4,0,0,83136,1
Male,55,8,102099,4,0,1,37230,0
Male,45,1,176636,4,0,0,26466,0
Male,19,6,527,3,0,0,157548,0
Female,55,16,187593,1,1,0,196984,1
Female,54,15,199530,3,0,0,37732,1
Male,68,16,5849,4,0,1,148447,1
Female,69,19,50314,3,1,0,17837,0
Female,21,1,176796,2,1,0,33108,1
Female,39,10,17230,1,1,0,27851,1
Female,43,1,92229,1,1,0,36600,0
Male,66,0,72495,4,1,1,25188,0
Male,60,1,101390,3,0,0,54777,1
Female,53,8,173802,4,0,0,146561,1
Female,30,1,91937,3,0,1,94618,0
Male,69,14,113723,2,1,1,149767,0
Male,49,9,3323,1,0,1,10230,0
Female,34,14,131517,1,1,1,173175,1
Male,58,9,82945,3,1,1,167422,0
Female,53,16,141035,1,0,1,192480,0
Female,63,8,181583,3,1,0,161426,1
Male,36,17,120801,4,0,0,190607,1
Male,52,3,146509,2,1,1,21355,1
Female,63,8,147927,3,0,0,171310,0
Female,57,15,81947,2,1,0,158216,0
Male,45,3,141919,4,1,0,80779,1
Female,18,15,134308,4,1,0,95872,1
Male,59,18,61897,4,0,0,60094,1
Female,35,0,118636,3,1,1,127383,1
Male,65,5,13487,2,0,0,20594,1
Male,57,9,77384,2,1,0,131562,0
Male,50,15,193495,1,0,1,158064,0
Female,29,3,13155,3,1,0,109185,0
Female,25,12,11255,1,0,0,70436,1
Male,41,15,120860,1,1,0,170965,1
Female,33,19,133051,3,1,0,135039,1
Male,67,5,125596,1,1,0,99236,0
Male,21,10,152377,1,0,0,53388,1
Female,55,2,74543,1,1,1,154114,0
Female,61,19,35094,4,1,0,37577,0
Male,44,9,166170,3,1,1,154566,1
Female,26,0,164842,4,0,1,96811,0
Female,64,19,9734,1,1,0,49248,1
Male,33,10,39605,1,0,0,99425,0
Male,29,11,77932,4,0,0,175834,1
Female,48,13,186691,1,1,1,91709,1
Male,41,7,124109,3,1,1,126011,1
Male,31,10,27881,2,0,1,142083,1
Female,62,3,194473,4,0,0,46836,1
Male,42,6,162249,2,1,1,71557,0
Male,51,9,40122,2,0,0,111751,0
Female,20,18,35297,2,0,0,34281,0
Female,41,3,111513,4,1,1,106574,0
Male,59,1,36680,1,1,1,157020,1
Male,26,17,83452,3,0,0,164711,0
Female,43,13,51044,1,0,1,151308,0
Female,37,15,175156,3,1,1,165531,0
Female,57,10,165261,1,0,0,74589,0
Female,27,9,144582,2,0,1,166872,1
Male,36,16,90502,2,1,1,40271,0
Female,20,13,22152,3,0,0,113427,1
Female,41,3,84738,4,0,0,105157,0
Male,22,18,157517,1,0,1,145250,1
Female,20,1,132267,2,0,1,107984,0
Male,44,6,104533,3,1,1,154348,0
Female,33,8,191021,1,0,0,155900,1
Female,66,18,25433,3,0,1,16149,0
Female,32,15,136377,4,1,0,102864,0
Male,52,15,189932,4,0,0,170090,0
Male,29,17,48648,1,0,0,63781,1
Female,58,10,194162,4,1,0,172448,1
Male,61,6,42113,1,0,1,185034,0
Male,43,8,103504,1,0,1,145618,1
Male,64,3,130431,4,0,1,70560,0
Male,51,12,173714,3,0,1,156433,0
Male,40,3,33062,3,0,1,78895,0
Male,48,18,71633,1,0,0,64165,1
Female,67,1,41604,2,0,0,87670,0
Female,37,8,137750,1,1,1,50372,1
Male,29,11,32121,3,1,1,120805,0
Female,40,1,179575,1,1,1,177854,1
Female,21,5,125015,3,0,1,141971,1
Female,40,4,86940,4,1,0,106628,0
Female,65,4,16494,1,1,1,108956,1
Male,65,19,175257,1,1,0,132684,1
Female,18,4,140750,4,1,0,142054,0
Female,42,3,168704,4,0,1,108879,0
Male,19,8,46235,2,0,0,84060,1
Male,47,9,132720,4,0,1,79843,0
Female,20,15,81213,2,1,0,133168,0
Female,38,9,198989,4,0,0,184245,1
Female,42,9,16489,3,1,0,118669,0
Female,37,18,77281,1,0,0,120329,0
Female,66,9,136890,4,0,0,181580,1
Female,69,5,108190,3,1,1,48794,0
Male,39,16,124613,4,1,0,30753,0
Female,38,4,164221,1,0,1,123684,1
Female,50,5,158384,4,0,1,161283,0
Male,69,14,168196,4,0,0,37238,0
Male,55,18,104222,1,1,1,94243,0
Male,32,17,1316,4,1,0,56086,1
Male,63,3,60046,1,1,1,37639,0
Female,69,7,78643,2,1,1,128058,0
Female,32,15,97504,4,0,0,198512,0
Female,63,18,115594,3,1,1,179244,0
Female,42,19,64042,4,1,1,179132,0
Female,38,2,128295,1,1,1,118748,0
Female,41,9,154174,1,0,0,63350,1
Male,22,1,114430,3,0,1,86779,0
Female,23,3,125782,3,1,1,62848,0
Male,66,5,163029,1,1,0,121546,0
Male,60,10,143944,2,0,1,118903,0
Female,65,13,50094,2,0,0,95122,0
Male,61,15,47719,1,1,1,192310,0
Female,64,18,121103,2,0,1,26690,1
Male,40,1,128826,3,1,1,125571,0
Female,21,16,150765,2,0,0,147735,1
Male,44,8,50478,3,1,1,16189,1
Female,35,16,43677,4,1,0,161745,0
Female,38,14,191084,3,1,0,144661,1
Female,45,6,141832,4,1,1,190079,1
Female,52,18,11584,3,0,1,111945,0
Female,39,2,2106,3,0,0,181176,1
Male,57,0,144741,2,1,1,91017,1
Male,40,3,25223,3,0,1,137224,0
Male,20,17,191738,1,1,1,97028,1
Female,57,7,35706,4,0,1,188382,0
Male,67,18,199091,4,1,0,143234,0
Female,27,5,192657,3,0,1,90110,0
Female,42,0,158554,1,0,0,164165,0
Male,69,7,60369,3,0,0,105400,0
Male,66,0,165215,3,0,0,15167,0
Female,25,18,155312,2,1,0,53743,1
Male,28,10,10015,3,1,0,29525,0
Female,22,14,82164,3,0,0,130819,0
Female,62,10,194095,2,0,0,162059,0
Female,54,18,51500,2,0,1,92074,0
Female,62,9,63925,1,0,1,79166,0
Female,55,11,90979,2,1,0,149724,1
Male,46,0,96355,4,0,1,126084,0
Male,22,6,180703,4,0,1,100902,1
Female,26,16,194724,1,0,1,121817,0
Female,65,9,182159,3,0,1,193933,1
Male,19,5,54909,1,0,0,167336,1
Male,18,16,11565,2,0,1,141648,0
Female,57,17,27597,3,0,0,82799,1
Male,68,4,65623,1,0,1,13764,0
Female,47,17,140504,1,1,1,69887,1
Male,28,16,74300,4,0,0,166009,1
Female,45,15,196786,1,0,0,174296,1
Male,61,7,91837,3,0,0,193785,1
Female,29,12,49314,1,0,1,45878,1
Male,56,15,41965,1,1,1,128217,0
Male,43,10,97449,2,0,1,178747,0
Female,30,5,67957,1,1,0,100461,1
Male,25,2,174787,3,1,0,24202,0
Female,45,0,184522,4,1,0,162003,1
Male,47,17,192974,4,1,0,79619,1
Female,26,4,28317,4,0,0,157564,1
Male,56,12,119191,4,1,1,197975,1
Female,48,9,66753,2,1,0,76767,1
Male,38,4,35242,3,0,0,108880,0
Female,64,13,132001,2,1,1,151902,0
Male,51,16,106262,4,1,0,58215,1
Female,48,0,99806,2,1,0,36617,0
Female,69,1,98724,1,1,0,89109,1
Female,42,6,13580,3,0,0,65873,0
Male,29,9,104134,1,1,1,196278,0
Female,18,19,95967,2,0,0,167800,0
Male,39,6,20742,1,0,1,124785,0
Female,57,15,17833,2,0,0,195830,0
Male,54,4,96421,2,1,1,137071,0
Female,64,11,71347,3,1,1,52908,0
Male,18,16,74155,3,0,0,50924,0
Male,18,15,89791,3,0,1,36071,0
Female,59,19,144599,4,0,1,28839,0
Male,59,15,189211,3,0,1,160902,1
Male,38,18,114527,1,0,0,183437,0
Female,32,14,41057,3,0,1,113115,0
Male,34,11,198511,3,1,1,83363,1
Male,39,9,44261,3,1,1,127379,1
Male,55,1,131114,2,1,0,125660,0
Female,52,6,22769,2,0,0,168396,0
Male,62,12,198185,3,1,1,36088,0
Female,33,2,22449,2,0,1,116110,0
Male,25,14,169725,2,0,0,78459,1
Male,64,0,159931,4,1,1,113305,1
Male,34,2,139648,1,0,0,115780,1
Female,34,9,176946,2,1,1,72406,1
Male,43,14,36345,1,1,1,106888,0
Male,30,5,117926,2,1,0,48703,1
Female,34,19,124576,3,0,0,75422,0
Male,55,14,69428,2,0,1,30614,0
Female,34,6,4321,2,0,0,157783,1
Female,65,4,5776,1,1,1,104406,0
Male,31,3,16119,3,0,1,158138,0
Female,62,17,161641,4,1,0,185363,1
Male,23,2,130078,1,0,1,42891,0
Female,52,16,169668,3,1,1,141825,0
Female,63,17,52967,3,1,0,50882,0
Male,31,17,164135,1,0,1,175446,1
Female,64,1,153412,2,0,1,49293,0
Female,25,12,75723,3,1,1,144650,0
Female,32,14,186502,4,1,1,96586,0
Female,44,4,112620,2,0,0,131896,1
Female,30,2,137740,1,1,1,160301,1
Male,66,4,80880,1,0,1,78474,0
Female,48,4,8195,1,0,1,124461,0
Male,52,4,102658,1,1,1,183958,0
Female,23,2,57995,4,0,0,154947,0
Male,22,2,130112,4,1,0,131007,1
Male,39,19,38250,3,0,0,72742,0
Female,66,17,147148,4,1,1,110731,1
Female,40,19,15376,1,0,1,100276,1
Female,42,3,186911,4,0,0,89686,0
Male,51,0,64723,2,1,0,150773,0
Female,43,15,43442,2,0,1,190193,0
Male,64,7,5392,3,1,0,33291,0
Male,22,16,158178,1,1,1,34116,0
Male,43,7,24809,4,1,1,15886,0
Female,37,6,115095,3,1,1,23672,0
Female,23,7,131765,3,1,1,24508,0
Male,23,11,99473,4,0,1,104204,0
Male,67,15,94769,3,0,1,119306,0
Female,35,11,190893,1,0,1,179008,0
Male,21,18,74710,4,0,1,187262,0
Female,34,9,11352,2,0,0,13281,1
Male,31,6,183268,2,0,0,138686,0
Female,31,11,136064,4,0,0,192936,1
Male,30,19,53076,3,1,0,113258,1
Female,24,4,23354,3,1,1,105386,1
Male,61,15,134384,2,1,0,188731,1
Female,32,8,45833,2,0,0,126294,0
Female,36,6,4318,1,1,1,153996,1
Male,60,19,112363,3,0,0,140363,1
Male,64,13,99992,1,0,0,169540,1
Female,61,10,66003,2,0,0,169451,0
Male,52,6,158264,2,1,0,101465,0
Female,34,9,107841,2,1,1,112543,1
Male,52,8,100726,2,1,0,67962,1
Female,36,3,89199,1,0,0,195327,1
Female,37,15,119195,2,0,0,157736,1
Female,53,9,168561,4,0,0,23633,1
Female,52,18,107507,3,0,1,54337,0
Female,49,16,171381,2,1,1,14932,1
Female,65,8,108173,3,1,0,26205,1
Male,61,12,28273,2,1,1,95470,0
Male,57,0,178625,1,1,1,61111,1
Male,41,1,29473,3,0,1,59541,0
Female,34,12,61410,1,0,1,80719,0
Female,24,8,128536,2,1,0,95787,1
Female,60,6,144751,4,0,1,161816,0
Female,67,15,92981,4,0,0,143125,1
Male,18,18,45310,4,1,0,141060,1
Male,52,6,83406,4,1,0,113312,0
Female,49,5,191755,4,0,0,149431,1
Male,53,17,112765,1,1,0,122994,1
Male,30,18,25992,4,1,0,131004,1
Female,23,10,29433,2,1,0,121441,0
Male,31,11,25933,1,1,0,44934,1
Female,54,9,176092,1,1,0,50874,1
Male,65,12,160308,4,1,0,74737,1
Female,32,11,189807,3,1,1,153533,1
Female,64,9,140842,2,1,1,119502,1
Female,21,19,69285,1,1,1,196496,1
Female,57,17,110121,2,0,0,31566,1
Male,33,3,122747,3,1,0,55006,1
Female,45,4,166343,1,1,0,103052,1
Female,33,4,111682,2,1,0,68641,0
Female,21,11,23439,4,0,0,110949,1
Male,62,2,95826,1,1,1,122849,0
Female,43,7,142173,1,1,1,56064,0
Male,45,1,92776,1,0,0,60368,0
Female,49,17,119070,1,0,0,107005,1
Male,62,8,175989,4,1,1,152263,1
Male,19,12,92345,3,0,1,109509,0
Female,48,6,112923,3,0,1,82239,1
Male,20,9,83459,2,0,0,92147,0
Female,25,8,172268,4,0,0,192837,1
Female,41,14,154641,4,0,0,44904,1
Female,32,4,119598,2,1,0,164767,0
Male,60,11,172959,4,0,1,120227,0
Male,48,0,151965,4,1,1,148030,0
Female,26,11,87971,1,1,0,92169,0
Female,56,5,186376,1,1,1,143344,0
Male,62,18,123299,1,0,0,97958,0
Female,19,18,163471,4,1,1,13018,0
Female,25,15,25236,4,0,0,93716,1
Female,24,18,114679,3,1,1,160700,0
Male,61,2,180603,1,1,1,198270,1
Male,68,9,80570,2,1,1,10296,1
Male,56,17,96621,4,0,0,24578,0
Female,59,12,9442,1,1,1,154626,0
Female,33,17,56437,3,0,0,31585,0
Female,52,2,191414,1,0,0,44225,1
Male,47,2,78179,3,0,1,144618,0
Female,27,11,166141,3,1,0,56622,0
Female,55,19,169632,4,1,0,115665,0
Female,35,6,189142,3,1,0,168775,0
Female,67,7,173499,3,1,0,135188,1
Male,22,8,125608,2,0,1,144736,1
Male,46,13,191568,3,1,0,101701,1
Female,56,4,64557,2,0,1,172171,1
Male,51,18,72752,2,0,0,92015,0
Male,60,15,48534,1,1,0,63084,0
Female,62,11,104303,1,1,0,183391,1
Female,40,3,159002,4,0,0,131600,1
Male,22,7,123295,4,0,0,16140,1
Female,47,6,115287,4,1,0,191963,0
Male,23,14,7288,3,1,0,129612,0
Female,63,5,109570,1,1,0,32141,0
Male,61,4,95547,3,0,0,191766,1
Female,21,13,81122,1,0,1,31628,1
Male,46,12,192590,3,1,1,122398,0
Male,40,9,32400,4,0,0,168315,0
Male,23,17,122609,1,0,0,73747,0
Female,49,3,132639,1,0,0,93525,1
Male,59,7,47878,2,0,1,75198,1
Male,35,10,48850,1,1,1,135627,0
Female,32,16,132166,1,0,1,54770,0
Female,57,17,142207,3,1,0,149009,0
Male,49,10,79044,4,1,0,197076,0
Male,26,15,45113,2,0,1,55618,0
Female,54,11,58791,3,1,0,114820,0
Female,27,12,9684,1,1,0,63103,1
Female,37,15,92783,3,1,1,16493,0
Female,23,0,71727,4,0,0,108038,1
Female,65,15,83378,2,1,1,35957,0
Male,20,14,58552,3,0,1,145189,0
Female,59,5,139118,1,1,0,109057,1
Male,28,11,4934,3,1,1,22501,1
Male,60,7,190628,1,1,0,142260,1
Male,34,6,177878,2,1,1,188315,1
Female,49,1,1354,2,0,0,173185,1
Male,21,11,104777,3,1,0,66639,0
Male,21,13,95352,2,1,0,76332,1
Female,34,15,53046,4,1,0,80681,1
Male,58,10,111098,3,0,1,196901,0
Male,36,19,65064,1,0,1,191084,0
Female,22,8,57184,3,1,0,112475,1
Male,49,9,134035,1,1,0,77050,1
Male,39,16,27424,2,1,0,25451,0
Male,23,11,134114,1,1,1,113240,1
Female,52,5,7139,1,0,1,62086,1
Female,39,18,11226,1,0,0,58393,0
Female,18,10,105234,1,0,1,134463,1
